dataset,n_effects,mean,std,p5,p25,p50,p75,p95,p99
JapaneseVowels,900,0.16560985214335636,0.16373496539673915,0.0044932603836059576,0.043847084045410156,0.1048821210861206,0.24757752567529678,0.506691801548004,0.6854915845394134
PenDigits,2000,0.05477790991929214,0.061916287174332466,0.0001589745283126831,0.007871082052588463,0.03537342883646488,0.08046769350767136,0.17714871615171432,0.27630531013011933
LSST,2000,0.08386537041988959,0.14211810590065135,0.00021982789039611816,0.003507326007820666,0.020747734233736992,0.09846052154898643,0.39172804951667783,0.7028852868080135
