dataset,n_perturbations,rank_corr_mean,rank_corr_ci_lower,rank_corr_ci_upper,top5_mean,top5_ci_lower,top5_ci_upper,stability_mean,stability_ci_lower,stability_ci_upper
JapaneseVowels,6,0.8838333333333335,0.8336666666666667,0.915,0.7596666666666666,0.7010000000000001,0.8183333333333334,0.8985,0.87,0.9235000000000001
PenDigits,6,0.8941666666666667,0.7751666666666667,0.9531666666666666,0.7333333333333334,0.5806666666666667,0.8435,0.8928333333333333,0.8171666666666667,0.9396666666666667
LSST,6,0.48416666666666663,0.45,0.5086666666666666,0.4136666666666667,0.3943333333333333,0.4283333333333333,0.6856666666666668,0.6761666666666667,0.6965
