perturbation,n_valid,rank_correlation_mean,rank_correlation_std,topk_overlap_k3_mean,topk_overlap_k5_mean,topk_overlap_k10_mean,stability_score_mean,stability_score_std
gaussian_sigma_0.05,9,0.9967149758454104,0.002485928566235453,0.9444444444444444,1.0,0.9797979797979798,0.9985697702543835,0.0006887348538772721
gaussian_sigma_0.10,9,0.9948792270531399,0.003239237606616421,0.9444444444444444,1.0,0.9797979797979798,0.9976023743707378,0.0010039481899918592
gaussian_sigma_0.20,9,0.9921739130434781,0.003380261968026227,0.7777777777777778,0.9259259259259258,0.9797979797979798,0.9739623616608729,0.0418459232576799
time_warp_factor_0.05,9,0.9911111111111109,0.003496997308377572,1.0,0.8888888888888888,0.9191919191919192,0.96289255855536,0.047239091910629624
time_warp_factor_0.10,9,0.9882125603864734,0.0043788479975361005,1.0,0.8888888888888888,0.9393939393939394,0.961893100632158,0.04708283408491576
time_warp_factor_0.20,9,0.9794202898550723,0.006622411396403404,0.9444444444444444,0.8518518518518519,0.8989898989898991,0.9477708362351019,0.04927696934562027
phase_shift_max_1,9,0.7658937198067632,0.12080926990015498,0.48888888888888893,0.6044973544973545,0.6824286824286825,0.8074053509202969,0.0868591390406719
phase_shift_max_2,9,0.8571980676328501,0.07985786341715562,0.8,0.5873015873015873,0.7471787471787472,0.8282536065305239,0.048031666602742364
phase_shift_max_3,5,0.8408695652173911,0.039240425126177945,0.44000000000000006,0.5547619047619047,0.7272727272727273,0.8140168097743274,0.07336562397110008
